county,2019,2020,2021
Colquitt,33,677,37,233,40,678
Columbia,53,105,55,920,58,242
Cook,33,537,36,344,39,380
Coweta,50,529,53,894,57,721
Crawford,35,090,37,733,41,063
Crisp,37,640,41,308,45,951
Dade,35,111,37,634,40,579
Dawson,48,887,50,904,53,996
Decatur,34,174,37,395,41,331
DeKalb,53,152,57,129,61,861
Dodge,31,895,34,346,37,268
Dooly,37,552,40,132,43,689
Dougherty,36,587,40,942,44,575
Douglas,37,339,41,066,44,779
Early,36,938,40,192,43,650
Echols,30,257,34,554,36,062
Effingham,42,320,44,887,48,212
Elbert,35,196,37,588,41,104
Emanuel,33,649,37,982,40,614
Evans,33,693,36,770,39,404
Fannin,40,680,43,024,46,163
Fayette,65,794,68,463,73,202
Floyd,39,008,41,411,44,803
Forsyth,66,644,68,985,73,337
Franklin,34,939,35,255,39,616
Fulton,95,148,95,825,102,074
Gilmer,37,263,38,886,42,351
Glascock,35,630,38,061,42,716
Glynn,48,693,52,149,55,351
Gordon,36,576,38,445,42,281
Grady,33,245,35,214,39,020
Greene,62,615,63,335,67,417
Gwinnett,43,158,46,705,50,256
Habersham,35,211,36,989,39,304
Hall,47,263,49,925,53,920
Hancock,30,507,32,961,35,778
Haralson,38,370,40,611,44,003
Harris,50,679,52,889,56,595
Hart,39,262,40,960,43,900
Heard,33,872,36,081,39,769
Henry,39,910,43,389,46,961
Houston,43,165,45,536,48,929
Irwin,34,392,37,925,40,963
Jackson,43,894,45,903,49,063
Jasper,39,331,41,228,44,317
Jeff Davis,32,980,35,826,38,122
Jefferson,34,020,38,396,43,720
Jenkins,30,946,34,673,36,886
Johnson,27,166,30,333,33,265
Jones,39,009,41,573,44,704
Lamar,35,752,38,669,41,856
Lanier,30,792,33,643,36,086
Laurens,36,805,40,198,43,532
Lee,43,869,47,008,50,409
Liberty,35,581,38,518,41,672
Lincoln,40,638,43,594,46,087
Long,33,714,36,566,38,480
Lowndes,38,070,41,037,43,546
Lumpkin,39,977,42,280,44,843
McDuffie,37,325,40,949,43,362
McIntosh,40,536,44,683,47,287
Macon,33,395,35,669,39,164
Madison,38,459,39,298,43,445
Marion,32,765,35,290,39,075
Meriwether,37,093,40,855,44,305
Miller,43,901,46,907,50,213
Mitchell,36,055,39,267,42,397
Monroe,47,038,49,781,52,718
Montgomery,31,503,35,598,37,935
Morgan,51,582,53,835,57,857
Murray,31,274,34,039,37,264
Muscogee,42,149,45,144,49,091
Newton,35,126,38,449,42,056
Oconee,70,400,72,145,76,403
Oglethorpe,38,746,39,427,43,517
Paulding,40,700,43,662,47,381
Peach,38,358,41,231,43,641
Pickens,49,335,51,623,55,398
Pierce,36,776,39,454,41,882
Pike,42,398,44,985,48,643
Polk,33,504,36,171,39,578
Pulaski,34,834,37,589,40,100
Putnam,45,971,49,574,53,019
Quitman,33,132,36,692,38,398
Rabun,43,631,47,292,50,488
Randolph,35,494,39,892,43,049
Richmond,38,085,41,051,43,429
Rockdale,35,602,39,358,43,042
Schley,37,443,39,972,43,917
Screven,34,667,37,736,40,137
Seminole,40,964,44,322,46,274
Spalding,35,829,39,157,43,098
Stephens,36,315,38,905,41,822
Stewart,27,980,31,652,32,844
Sumter,36,889,39,790,43,130
Talbot,37,464,42,057,45,385
Taliaferro,36,707,36,369,41,494
Tattnall,31,135,32,553,35,616
Taylor,33,163,34,501,39,030
Telfair,25,575,28,241,30,573
Terrell,39,352,42,819,47,258
Thomas,44,358,48,175,52,349
Tift,37,892,41,415,44,913
Toombs,35,389,39,359,42,075
Towns,40,709,43,802,45,939
Treutlen,31,609,34,542,38,090
Troup,37,690,41,915,45,441
Turner,32,210,34,612,38,250
Twiggs,39,395,41,800,44,235
Union,40,040,42,125,44,163
Upson,35,635,38,329,42,364
Walker,35,186,37,697,40,744
Walton,43,227,45,718,49,062
Ware,33,254,36,269,38,862
Warren,36,081,40,022,42,377
Washington,35,531,39,048,42,068
Wayne,32,370,34,619,37,997
Webster,38,238,41,223,43,682
Wheeler,19,726,22,227,24,241
White,40,768,43,695,46,899
Whitfield,40,991,44,590,47,545
Wilcox,27,763,28,996,32,288
Wilkes,42,207,42,864,48,806
Wilkinson,36,071,40,069,42,625
Worth,34,947,38,024,41,431
Hawaii,54,700,57,241,60,947
Hawaii,43,585,47,068,50,038
Honolulu,57,560,60,114,63,912
Kauai,50,670,53,608,56,103
Maui + Kalawao,52,301,53,586,58,520
Idaho,45,924,49,491,52,369
Ada,54,866,58,976,62,610
Adams,40,107,42,496,44,261
Bannock,39,307,42,596,45,443
Bear Lake,40,547,43,776,45,385
Benewah,38,912,42,238,43,922
Bingham,37,355,41,008,42,774
Blaine,122,878,127,990,134,722
Boise,47,045,50,581,53,198
Bonner,44,003,47,782,49,868
Bonneville,50,865,55,037,58,430
Boundary,38,708,41,509,44,200
Butte,44,864,49,413,48,844
Camas,54,184,59,629,62,248
Canyon,35,791,39,017,41,980
Caribou,43,080,47,824,47,740
Cassia,45,152,48,220,47,780
Clark,44,539,48,687,47,973
Clearwater,36,261,39,465,41,834
Custer,43,419,47,771,48,619
Elmore,37,417,39,343,41,884
Franklin,36,323,40,038,43,472
Fremont (includes Yellowstone National Park),37,647,40,827,42,503
Gem,39,541,42,252,45,441
Gooding,59,278,63,489,63,847
Idaho,35,784,39,404,41,484
Jefferson,37,847,39,949,42,307
Jerome,38,333,41,646,42,356
Kootenai,47,745,51,109,54,406
Latah,44,601,47,859,50,703
Lemhi,43,898,48,508,50,927
Lewis,53,580,59,260,62,533
Lincoln,40,523,42,555,42,718
Madison,22,650,24,244,25,648
Minidoka,39,944,43,848,45,273
Nez Perce,44,537,48,279,50,993
Oneida,38,402,42,200,44,887
Owyhee,39,174,41,985,43,713
Payette,40,739,43,076,45,796
Power,40,640,44,237,43,031
Shoshone,36,449,41,787,45,434
Teton,45,088,47,705,53,564
Twin Falls,40,339,43,429,45,627
Valley,51,861,55,295,57,895
Washington,36,859,40,441,41,119
Illinois,58,438,62,139,67,244
Adams,47,040,51,072,55,254
Alexander,39,870,47,088,51,974
Bond,37,518,40,863,44,653
Boone,47,814,50,785,54,496
Brown,38,185,42,396,44,740
Bureau,41,467,45,938,51,269
Calhoun,44,902,49,809,55,240
Carroll,40,903,45,742,49,976
Cass,38,418,44,095,48,959
Champaign,46,769,50,839,54,638
Christian,40,055,44,393,48,831
Clark,42,370,45,708,51,307
Clay,39,303,43,835,49,656
Clinton,49,198,52,677,56,536
Coles,44,884,49,333,53,596
Cook,63,971,67,558,73,557
Crawford,46,454,49,604,52,318
Cumberland,74,063,78,347,84,035
DeKalb,43,643,47,312,51,571
De Witt,46,173,52,177,57,473
Douglas,50,063,54,821,60,587
DuPage,76,075,79,901,85,498
Edgar,41,888,48,317,54,641
Edwards,41,882,46,220,51,628
Effingham,50,578,55,724,61,218
Fayette,36,224,40,215,44,763
Ford,50,124,56,396,62,180
Franklin,38,161,42,023,45,473
Fulton,38,671,42,623,46,395
Gallatin,41,067,45,909,53,962
Greene,38,757,44,275,51,356
Grundy,58,763,59,913,65,839
Hamilton,43,440,48,156,53,814
Hancock,44,091,50,006,55,095
Hardin,39,129,43,237,46,724
Henderson,41,244,47,473,54,766
Henry,45,785,50,273,54,747
Iroquois,44,055,50,377,56,185
Jackson,39,719,43,023,46,443
Jasper,42,118,48,543,54,032
Jefferson,40,279,44,355,48,057
Jersey,43,093,47,107,50,874
Jo Daviess,47,991,52,229,56,428
Johnson,34,768,37,515,40,166
Kane,54,489,58,186,62,837
Kankakee,43,515,47,846,53,165
Kendall,51,048,53,941,58,848
Knox,39,116,43,913,47,985
Lake,79,993,83,141,89,025
LaSalle,44,823,48,460,53,033
Lawrence,31,181,35,950,40,385
Lee,42,295,46,704,51,124
Livingston,45,392,52,002,57,213
Logan,37,877,42,169,47,074
McDonough,40,509,44,477,48,261
McHenry,56,744,59,737,64,119
McLean,50,152,55,203,58,503
Macon,47,492,51,804,56,548
Macoupin,41,774,45,687,49,950
Madison,48,409,51,846,55,538
Marion,42,172,46,572,50,107
Marshall,44,084,49,305,54,239
Mason,41,671,47,241,53,655
Massac,38,294,42,411,46,618
Menard,46,275,50,478,55,848
Mercer,45,401,51,623,57,676
